country,country_code,region,city,id,osm_lat,osm_long,g_lat,g_long
United States of America,US,Michigan,Lapeer,2468240,43.0514161,-83.3188341,43.0514161,-83.3188341
United States of America,US,Michigan,Lincoln Park,2468295,42.2505943,-83.1785361,42.2505943,-83.1785361
United States of America,US,Michigan,Livonia,2468310,42.3971726243827,-83.3733273763063,42.36837,-83.3527097
United States of America,US,Michigan,Madison Heights,2468350,42.5072913516729,-83.1033565625476,42.4858692,-83.1052028
United States of America,US,Michigan,Marquette,2468386,46.5506544753831,-87.3959871279666,46.5435442,-87.395417
United States of America,US,Michigan,Marysville,2468394,42.908956237876,-82.480514358283,42.9125305,-82.4868599
United States of America,US,Michigan,Melvindale,2468441,42.2825383,-83.175203,42.2825383,-83.175203
United States of America,US,Michigan,Midland,2468471,43.6233460607562,-84.2319683357733,43.6155825,-84.2472116
United States of America,US,Michigan,Monroe,2468504,41.9164343,-83.3977101,41.9164343,-83.3977101
United States of America,US,Michigan,Mount Clemens,2468527,42.5975899444439,-82.8820601329063,42.5972563,-82.8779754
United States of America,US,Michigan,Mount Pleasant,2468530,43.597646,-84.7668495,43.5978075,-84.7675139
United States of America,US,Michigan,Muskegon Heights,2468544,43.2023676569948,-86.2420790957918,43.2011264,-86.2389464
United States of America,US,Michigan,Muskegon,2468543,43.2341813,-86.2483921,43.2341813,-86.2483921
United States of America,US,Michigan,New Baltimore,2468569,42.683985276886,-82.7384424876629,42.6811436,-82.7368616
United States of America,US,Michigan,Niles,2468593,41.8297694,-86.2541768,41.8297694,-86.2541768
United States of America,US,Michigan,Northview,2468627,43.0427381133181,-85.6016206233129,43.0455825,-85.6005862
United States of America,US,Michigan,Norton Shores,2468631,43.1620062504348,-86.2520046126801,43.1689044,-86.2639461
United States of America,US,Michigan,Novi,2468638,42.48059,-83.4754913,42.48059,-83.4754913
United States of America,US,Michigan,Oak Park,2468644,42.4649263135452,-83.1824271605967,42.4594803,-83.1827051
United States of America,US,Michigan,Oakland Township,2674325,42.7550985577527,-83.1565994316361,42.7561109,-83.1434573
United States of America,US,Michigan,Okemos,2468665,42.7112694287241,-84.4145521093096,42.722257,-84.4274744
United States of America,US,Michigan,Owosso,2468710,42.9955849863857,-84.1763037432702,42.9978049,-84.1766358
United States of America,US,Michigan,Pontiac,2468844,42.6493216522074,-83.2878067767484,42.6389216,-83.2910468
United States of America,US,Michigan,Port Huron,2468851,42.9815877,-82.440466,42.9708634,-82.4249142
United States of America,US,Michigan,Portage,2468856,42.2000288196121,-85.5905451495234,42.2011538,-85.5800022
United States of America,US,Michigan,Redford,2468911,42.3833698,-83.2965971,42.3833697,-83.2965971
United States of America,US,Michigan,River Rouge,2468939,42.2731218078856,-83.1245500943368,42.2733718,-83.1343677
United States of America,US,Michigan,Riverview,2468943,42.1729228512861,-83.1935496844971,42.1742073,-83.1793697
United States of America,US,Michigan,Rochester Hills,2468951,42.6645250355979,-83.1563060340189,42.6583661,-83.1499322
United States of America,US,Michigan,Rochester,2468950,42.680588,-83.1338214,42.680588,-83.1338214
United States of America,US,Michigan,Rogers Township,2673687,,,45.4265077,-83.8605137
United States of America,US,Michigan,Romulus,2468969,42.2222614,-83.3965995,42.2222614,-83.3965994
United States of America,US,Michigan,Roseville,2468982,42.5074193686302,-82.9369801580374,42.4972583,-82.9371409
United States of America,US,Michigan,Royal Oak,2468989,42.4894801,-83.1446485,42.4894801,-83.1446485
United States of America,US,Michigan,Saginaw,2469005,43.4200387,-83.9490365,43.4194699,-83.9508068
United States of America,US,Michigan,Saint Clair Shores,2673820,42.4932630417681,-82.8922074529676,42.4931,-82.891134
