"country","country_code","region","city","id","osm_lat","osm_long","g_lat","g_long"
"United States","US",,"Adjuntas",2514579,18.16,-66.72,27.12,-101.27
"United States","US",,"Aguada",2514581,18.38,-67.19,30.98,-107.52
"United States","US",,"Aguas Buenas",2514583,18.26,-66.11,,
"United States","US",,"Anasco",2514601,18.29,-67.14,27.43,-82.68
"United States","US",,"Arroyo",2514610,14.53,121.02,36.01,-105.86
"United States","US",,"Barceloneta",2514624,18.45,-66.54,,
"United States","US",,"Barranquitas",2514628,18.18,-66.31,25.8,-97.37
"United States","US",,"Cabo Rojo",2514669,18.09,-67.15,25.65,-100.27
"United States","US",,"Camuy",2514696,18.48,-66.85,36.29,-115.23
"United States","US",,"Candelaria",2514700,30.5,-112.28,30.13,-104.68
"United States","US",,"Canovanas",2514703,18.38,-65.91,18.43,-65.88
"United States","US",,"Ciales",2514743,18.33,-66.47,26.71,-81.91
"United States","US",,"Cidra",2514744,18.18,-66.16,33.67,-116.28
"United States","US",,"Coamo",2514749,18.08,-66.36,25.85,-97.53
"United States","US",,"Comerio",2514759,18.22,-66.22,27.87,-82.62
"United States","US",,"Corozal",2514774,18.34,-66.31,33.69,-117.66
"United States","US",,"Dorado",2514804,33.22,-92.66,37.55,-122.27
"United States","US",,"Florida",2514880,27.54,-81.41,27.66,-81.52
"United States","US",,"Guayanilla",2514906,18.02,-66.79,,
"United States","US",,"Gurabo",2514910,18.25,-65.98,,
"United States","US",,"Hatillo",2515089,18.48,-66.82,22.51,-80
"United States","US",,"Isabela",2515116,18.48,-67.01,36.58,-92.61
"United States","US",,"Jayuya",2515133,18.22,-66.6,,
"United States","US",,"Juana Diaz",2515140,18.05,-66.5,28.6,-106.04
"United States","US",,"Juncos",2515143,30.71,-112.01,35.87,-75.58
"United States","US",,"Lajas",2515198,18.05,-67.06,20.28,-76.19
"United States","US",,"Lares",2515201,18.3,-66.88,40.68,-111.79
"United States","US",,"Loiza",2515245,18.43,-65.88,18.43,-65.88
"United States","US",,"Maunabo",2515306,18.01,-65.9,18.05,-65.88
"United States","US",,"Moca",2515321,18.4,-67.12,33.38,-84.78
"United States","US",,"Morovis",2515332,18.33,-66.41,,
"United States","US",,"Naranjito",2515341,18.3,-66.25,23.07,-82.38
"United States","US",,"Orocovis",2515355,18.23,-66.39,,
"United States","US",,"Patillas",2515393,18.01,-66.01,38.94,-104.77
"United States","US",,"Penuelas",2515398,18.06,-66.72,25.67,-100.25
"United States","US",,"Quebradillas",2515455,18.47,-66.94,,
"United States","US",,"Rincon",2515477,32.67,-107.08,32.3,-81.24
"United States","US",,"Rio Grande",2515483,18.38,-65.84,38.88,-82.38
"United States","US",,"Sabana Grande",2515506,18.08,-66.97,35.24,-106.65
"United States","US",,"Salinas",2515516,36.68,-121.64,36.68,-121.66
"United States","US",,"San German",2515528,18.08,-67.05,20.6,-76.13
"United States","US",,"San Lorenzo",2515533,18.19,-65.97,37.68,-122.12
"United States","US",,"Santa Isabel",2515548,17.97,-66.4,34.03,-118.21
"United States","US",,"Toa Alta",2515594,18.39,-66.25,18.39,-66.25
"United States","US",,"Toa Baja",2515595,18.44,-66.25,18.46,-66.11
"United States","US",,"Trujillo Alto",2515606,18.36,-66.01,18.4,-66.01
"United States","US",,"Utuado",2515613,18.27,-66.7,25.85,-97.53
"United States","US",,"Vega Alta",2515622,18.42,-66.32,22.55,-79.82
"United States","US",,"Vega Baja",2515623,18.44,-66.4,32.62,-115.58
"United States","US",,"Vieques",2515629,18.43,-65.84,18.13,-65.49
"United States","US",,"Villalba",2515652,18.13,-66.48,32.59,-115.48
