country,country_code,region,city,id,osm_lat,osm_long,g_lat,g_long,distance
Argentina,AR,,Alta Gracia,83019,-31.6572466,-64.4258502,-31.6545525,-64.430603,0.335601768477674
Argentina,AR,,Azul,83332,-36.783843492374,-59.8613689442799,-36.7749672,-59.8540382,0.73481604103757
Argentina,AR,,Bahía Blanca,83339,-38.7176804,-62.2654621,-38.7116776,-62.2680779,0.437767509294978
Argentina,AR,,Bell Ville,83562,-32.6303533,-62.6889165,-32.6201134,-62.6892624,0.707302287690795
Argentina,AR,,Buenos Aires,83693,-34.6169869,-58.4460813,-34.6084175,-58.3731613,4.18570440433075
Argentina,AR,,Campana,83811,-34.1700451,-58.9575804,-34.1674805,-58.9526405,0.333156251651435
Argentina,AR,,Catamarca,84084,-27.3247603402662,-66.932075418091,-28.4689906,-65.7789716,105.793927573554
Argentina,AR,,Chacabuco,84163,-34.6444943,-60.4691688,-34.6359329,-60.4651222,0.634246246305288
Argentina,AR,,Chivilcoy,84281,-34.8884004350465,-60.032542704071,-34.8972397,-60.018837,0.987393467198997
Argentina,AR,,Comodoro Rivadavia,84683,-45.8733601,-67.5195695,-45.8679199,-67.5,1.01301364257506
Argentina,AR,,Concepción del Uruguay,84695,-32.4847678,-58.2319415,-32.4838219,-58.2330284,0.0909545127985177
Argentina,AR,,Concordia,84699,-31.3972539,-58.0173305,-31.3918479,-58.0170605,0.373597550366159
Argentina,AR,,Corrientes,84826,-28.5912315,-57.9394658,-27.4712257,-58.8395844,94.8121015330063
Argentina,AR,,Córdoba,84740,-32.1297507435372,-63.7967633581271,-31.3989296,-64.1821289,55.2986320209924
Argentina,AR,,Dolores,85039,-27.85,-63.35,-36.3145485,-57.6800804,671.65973145938
Argentina,AR,,Eldorado,85240,-26.404486,-54.6258412,-26.3999195,-54.626812,0.32096023214971
Argentina,AR,,Formosa,85853,-24.8945636468611,-59.9334520137571,-26.185201,-58.1753697,141.194552994682
Argentina,AR,,General Pico,86079,-35.6635985,-63.754276,-35.6569519,-63.7545471,0.459167935273471
Argentina,AR,,General Roca,86088,-32.7310158,-61.915915,-39.0267525,-67.5751724,537.500288216694
Argentina,AR,,Goya,86200,-29.1453281,-59.2622035,-29.1442242,-59.2643242,0.148876113328242
Argentina,AR,,Gualeguaychú,86226,-33.0102708,-58.5141836,-33.0150185,-58.5192451,0.439699008571529
Argentina,AR,,Gualeguay,86227,-33.1464566,-59.3130305,-33.1512413,-59.3344116,1.27939329483406
Argentina,AR,,Jujuy,86715,-23.3160952247491,-65.7643802343528,-22.6633212,-66.2367172,54.1545466556782
Argentina,AR,,Junín,86726,-33.15,-68.483333,-34.5822105,-60.9494019,442.984138055917
Argentina,AR,,La Plata,87145,-35.6538555316805,-65.1282890418551,-34.9173012,-57.9501305,407.653470771669
