"country","country_code","region","city","id","osm_lat","osm_long","g_lat","g_long"
"Argentina","AR",,"Alta Gracia","83019","-31.6572466","-64.4258502","-31.6545525","-64.430603"
"Argentina","AR",,"Azul","83332","-36.783843492374","-59.8613689442799","-36.7749672","-59.8540382"
"Argentina","AR",,"Bahía Blanca","83339","-38.7176804","-62.2654621","-38.7116776","-62.2680779"
"Argentina","AR",,"Bell Ville","83562","-32.6303533","-62.6889165","-32.6201134","-62.6892624"
"Argentina","AR",,"Buenos Aires","83693","-34.6169869","-58.4460813","-34.6084175","-58.3731613"
"Argentina","AR",,"Campana","83811","-34.1700451","-58.9575804","-34.1674805","-58.9526405"
"Argentina","AR",,"Catamarca","84084","-27.3247603402662","-66.932075418091","-28.4689906","-65.7789716"
"Argentina","AR",,"Chacabuco","84163","-34.6444943","-60.4691688","-34.6359329","-60.4651222"
"Argentina","AR",,"Chivilcoy","84281","-34.8884004350465","-60.032542704071","-34.8972397","-60.018837"
"Argentina","AR",,"Comodoro Rivadavia","84683","-45.8733601","-67.5195695","-45.8679199","-67.5"
"Argentina","AR",,"Concepción del Uruguay","84695","-32.4847678","-58.2319415","-32.4838219","-58.2330284"
"Argentina","AR",,"Concordia","84699","-31.3972539","-58.0173305","-31.3918479","-58.0170605"
"Argentina","AR",,"Corrientes","84826","-28.5912315","-57.9394658","-27.4712257","-58.8395844"
"Argentina","AR",,"Córdoba","84740","-32.1297507435372","-63.7967633581271","-31.3989296","-64.1821289"
"Argentina","AR",,"Dolores","85039","-27.85","-63.35","-36.3145485","-57.6800804"
"Argentina","AR",,"Eldorado","85240","-26.404486","-54.6258412","-26.3999195","-54.626812"
"Argentina","AR",,"Formosa","85853","-24.8945636468611","-59.9334520137571","-26.185201","-58.1753697"
"Argentina","AR",,"General Pico","86079","-35.6635985","-63.754276","-35.6569519","-63.7545471"
"Argentina","AR",,"General Roca","86088","-32.7310158","-61.915915","-39.0267525","-67.5751724"
"Argentina","AR",,"Goya","86200","-29.1453281","-59.2622035","-29.1442242","-59.2643242"
"Argentina","AR",,"Gualeguaychú","86226","-33.0102708","-58.5141836","-33.0150185","-58.5192451"
"Argentina","AR",,"Gualeguay","86227","-33.1464566","-59.3130305","-33.1512413","-59.3344116"
"Argentina","AR",,"Jujuy","86715","-23.3160952247491","-65.7643802343528","-22.6633212","-66.2367172"
"Argentina","AR",,"Junín","86726","-33.15","-68.483333","-34.5822105","-60.9494019"
"Argentina","AR",,"La Plata","87145","-35.6538555316805","-65.1282890418551","-34.9173012","-57.9501305"
"Argentina","AR",,"La Rioja","87199","-29.6359232224535","-67.1844471559934","-29.4128001","-66.8559803"
"Argentina","AR",,"Libertador General San Martín","87540","-23.8084811","-64.7862671","-23.81945","-64.790077"
"Argentina","AR",,"Lincoln","87559","-34.8675352","-61.5288545","-34.8678589","-61.53442"
"Argentina","AR",,"Luján","87833","-34.5668306","-59.109508","-34.565731","-59.1174316"
"Argentina","AR",,"Luján","87835","-34.5668306","-59.109508","-34.565731","-59.1174316"
"Argentina","AR",,"Mar del Plata","87974","-38.0072872","-57.5595802","-37.9798584","-57.5897942"
"Argentina","AR",,"Mendoza","88108","-34.8700721","-68.5479966","-32.890183","-68.8440498"
"Argentina","AR",,"Mercedes","88111","-34.6497581","-59.4318425","-33.690102","-65.465477"
"Argentina","AR",,"Mercedes","88113","-34.6497581","-59.4318425","-33.690102","-65.465477"
"Argentina","AR",,"Mercedes","88115","-34.6497581","-59.4318425","-33.690102","-65.465477"
"Argentina","AR",,"Necochea","88395","-38.5666435","-58.7299373","-38.5544968","-58.7396088"
"Argentina","AR",,"Neuquén","88406","-38.3533413","-69.8210841","-38.9492798","-68.0658112"
"Argentina","AR",,"Nueve de Julio","88472","-35.4468486","-60.8841028","-35.457642","-60.887272"
"Argentina","AR",,"Oberá","88485","-27.4849705","-55.1201879","-27.4815311","-55.1234932"
"Argentina","AR",,"Olavarría","88519","-36.8928868","-60.3200212","-36.8920898","-60.3149414"
"Argentina","AR",,"Paraná","88720","-31.7432607","-60.5171971","-31.7413197","-60.5115471"
"Argentina","AR",,"Pergamino","88860","-33.8963529","-60.5711143","-33.8881416","-60.5693359"
"Argentina","AR",,"Posadas","89027","-27.3665072","-55.8941895","-27.3621374","-55.9008746"
"Argentina","AR",,"Presidencia Roque Sáenz Peña","89111","-26.7941591239158","-60.4377032080927","-26.7906895","-60.4402504"
"Argentina","AR",,"Puerto Madryn","89282","-42.7729674","-65.0366104","-42.7543983","-65.0493088"
"Argentina","AR",,"Punta Alta","89379","-38.8804851","-62.0749748","-38.8760605","-62.0740891"
"Argentina","AR",,"Rafaela","89461","-31.2514022080585","-61.4908113226448","-31.2525979","-61.4916422"
"Argentina","AR",,"Rawson","89523","-43.2999999","-65.1000001","-43.2998581","-65.0994873"
"Argentina","AR",,"Reconquista","89540","-29.1547277","-59.6540859","-29.1448193","-59.6435242"
"Argentina","AR",,"Resistencia","89562","-27.4511223","-58.9865596","-27.451656","-58.986252"
"Argentina","AR",,"Rivadavia","89655","-31.5279813","-68.5977418","-35.4889908","-62.973774"
"Argentina","AR",,"Rosario","89720","-32.9581132","-60.6590224","-32.9507408","-60.6665001"
"Argentina","AR",,"Río Cuarto","89615","-33.1315202","-64.3510601","-33.132019","-64.3496704"
"Argentina","AR",,"Río Gallegos","89622","-51.6207418","-69.2166383","-51.6329918","-69.2276001"
"Argentina","AR",,"Río Tercero","89645","-32.1732942","-64.1127941","-32.1753998","-64.1122055"
"Argentina","AR",,"Salta","89805","-24.2988309099621","-64.8055804360125","-24.7829323","-65.4121552"
"Argentina","AR",,"San Carlos de Bariloche","89886","-41.1334672","-71.3099936","-41.1492882","-71.3012695"
"Argentina","AR",,"San Francisco","89939","-23.616667","-61.65","-31.4249992","-62.0841599"
"Argentina","AR",,"San Juan","90043","-30.7054363","-69.1988222","-31.5272732","-68.5214081"
"Argentina","AR",,"San Lorenzo","90053","-32.7434258","-60.7496742","-32.7502403","-60.7324219"
"Argentina","AR",,"San Luis","90062","-33.7699145369167","-66.0214388682823","-33.2995605","-66.3491821"
"Argentina","AR",,"San Martín","90081","-32.7584915125256","-60.7314483809572","-34.5759506","-58.5372696"
"Argentina","AR",,"San Nicolás","90106","-32.3","-63.866667","-33.3334656","-60.2110291"
"Argentina","AR",,"San Pedro","90124","-33.681176","-59.663826","-33.682003","-59.6651649"
"Argentina","AR",,"San Pedro","90127","-33.681176","-59.663826","-33.682003","-59.6651649"
"Argentina","AR",,"San Rafael","90138","-34.6161749","-68.329908","-34.6131516","-68.341011"
"Argentina","AR",,"San Ramón de la Nueva Orán","90141","-23.1372819","-64.3211746","-23.1286198","-64.3215195"
"Argentina","AR",,"San Vicente","90309","-26.9954611","-54.4865775","-35.0538035","-58.4399208"
"Argentina","AR",,"Santa Fe","90205","-30.3154739","-61.1645076","-31.6323891","-60.6994591"
"Argentina","AR",,"Santa Rosa","90258","-28.0783724228439","-65.3349123418484","-36.6226883","-64.2859268"
"Argentina","AR",,"Santiago del Estero","90283","-27.6431016","-63.5408542","-27.78442","-64.2672806"
"Argentina","AR",,"Tandil","90607","-37.317450532918","-59.1298547636638","-37.3178101","-59.1503906"
"Argentina","AR",,"Tartagal","90625","-24.2231330879437","-62.1490518428798","-22.5203762","-63.7991066"
"Argentina","AR",,"Trelew","90784","-43.2535334","-65.3106947","-43.2491302","-65.3074036"
"Argentina","AR",,"Tres Arroyos","90790","-38.3770869","-60.2753897","-38.3763123","-60.2781296"
"Argentina","AR",,"Tucumán","90848","-26.5643582","-64.882397","-26.9468463","-65.2857082"
"Argentina","AR",,"Ushuaia","90911","-54.8069332","-68.3073246","-54.7916794","-68.229248"
"Argentina","AR",,"Veinticinco de Mayo","90956","-35.428056","-60.174167","-35.431931","-60.176701"
"Argentina","AR",,"Venado Tuerto","90967","-33.7497151","-61.9669444","-33.75","-61.965641"
"Argentina","AR",,"Victoria","90994","-34.4501041","-58.534628","-34.4562893","-58.5466236"
